pH,EC (µS/cm),HCO3,Cl (mg/L),SO4,Total Hardness,Na (mg/L),F
8.09,385,268.4,24.8,null,160,20.8,null
7.82,40.5,18.3,3.5,null,20,0.4,null
8.32,324.5,207.4,35.5,null,150,22,null
8.47,59.9,67.1,28.4,null,80,4.2,null
7.78,841.4,317.2,85.1,null,210,90.1,null
8.1,493.4,244,21.3,null,200,12,null
8.01,553,292.8,24.9,null,190,44.5,null
7.66,336,176.9,7.1,null,145,7.1,null
7.72,294,158.6,10.6,null,130,12,null
7.83,184,97.6,10.6,null,60,18.9,null
7.89,466,280.6,7.1,null,200,19.3,null
7.67,124,61,10.6,null,30,17.5,null
7.59,187,85.4,10.6,null,55,15.6,null
7.8,168,85.4,7.1,null,60,9.8,null
7.48,160,85.4,7.1,null,60,9.4,null
7.23,101,48.8,7.1,null,50,1.9,null
7.82,436,256.2,14.2,null,230,null,null
7.92,371,219.6,7.1,null,200,null,null
7.02,98,48.8,7.1,null,50,null,null
7.22,154,85.4,7.1,null,70,6,null
7.1,89,36.6,7.1,null,40,1.9,null
7.63,426,244,10.6,null,190,11,null
7.56,121,73.2,3.5,null,45,10.4,null
7.42,121,61,7.1,null,60,null,null
8.27,120,55,11,null,40,7.2,null
7.28,80,25,14,null,25,6,null
8.19,280,111,32,null,96,16.9,null
8.05,412,232,7,null,200,2,null
7.69,485,268,11,null,235,null,null
7.62,180,92,7,null,60,13,null
7.84,165,73,11,null,55,12,null
8.09,115,55,7,null,45,4,null
7.54,103,43,7,null,40,5,null
7.88,213,104,7,null,100,2,null
8.18,307,159,7,null,120,12,null
8,530,305,7,null,210,24,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
0,0,null,null,null,null,null,null
7.6,457,195,53,null,145,32,0.11
7.6,457,195,53,null,145,32,0.11
7.6,296,146,21,null,95,23,0.76
7.22,166,73,14,null,65,3,0.62
7.22,166,73,14,null,65,3,0.62
7.92,378,207,7,null,120,15,0.11
7.75,467,256,25,null,190,21,0.55
7.5,124,40,22,null,37,8,1
8.4,793,451,28,null,285,70,0.91
7.37,144,67,11,null,70,null,0.13
7.67,140,61,14,null,60,6,0.37
7.72,521,281,7,null,140,55,0.76
8.13,530,305,14,null,210,24,0.5
7.11,64,24,11,null,25,4,0.02
8.29,407,232,28,null,180,20,1.4
6.9,130,79,2,null,55,6,0.17
7.47,190,85,11,null,56,8,0.57
7.59,110,37,10,null,20,7,0.07
7.96,770,290,122,null,100,148,0.42
7.77,640,366,1,null,75,103,1.17
8.41,75.83,30.5,14.2,null,35,1.9,0.15
7.95,145.6,61,17.7,null,55,6.6,0.47
7.69,47.71,18.3,7.1,null,20,2.4,0.14
7.85,99.4,48.8,10.6,null,35,7.2,0.31
6.93,1260,518.5,134.7,null,370,116.8,0.03
7.43,85.99,67,14.1,null,30,16.6,0.05
8.04,183.1,109.8,17.7,null,65,9.3,0.14
7.78,678.1,366,49.6,null,215,50.5,0.05
7.84,478.7,158.6,78,null,170,29.6,0.4
7.8,585.7,366,35.5,null,225,44,0.05
7.85,651.7,359.9,63.8,null,200,69.2,0.2
7.97,431.6,152.5,60.3,null,100,41.1,0.23
7.84,567.9,378.2,31.9,null,160,71.2,0.09
8.08,286.7,176.9,17.7,null,115,9.7,0.46
7.7,503.2,317.2,81.5,null,220,75.6,0.13
7.8,678.9,347.7,39,null,250,57.2,0.1
8.09,645.8,378.2,70.9,null,200,81.1,0.19
8.48,305.2,183,17.7,null,110,13.9,0.16
7.74,582.6,366,28.4,null,175,61,0.39
8.08,351.5,183,39,null,170,22.1,0.04
7.86,727.7,390.4,60.3,null,135,112.7,0.03
8.07,717.5,445.3,35.5,null,115,112.5,0.07
8.25,700.5,402.6,53.2,null,350,41.1,0.09
7.77,736,402.6,49.6,null,310,77.4,0.1
7.96,898.3,396.5,99.3,null,220,104.1,0.3
8.17,527.9,267.2,63.8,null,205,32.9,0.22
7.99,423.1,225.7,39,null,185,16,0.02
8,153.4,61,31.9,null,80,8.5,0.22
7.34,995.6,341.6,120.5,null,295,72.7,0.19
8.42,62.53,85.4,17.7,null,65,5.4,0.12
7.82,457.8,115.9,81.5,null,175,12.9,0.06
7.4,1297,390.4,237.5,null,235,116.5,0.1
8,844.2,353.8,117,null,220,84.5,0.07
7.7,1233,158.6,209.2,null,250,124.5,0.44
8,1029,603.9,95.7,null,200,115.3,0.51
8.36,572.1,292.8,46.1,null,190,31.2,0.14
7.62,1153,323.3,198.5,null,240,124.6,0.21
7.65,1119,244,223.3,null,250,104.4,0.14
8.09,540.3,329.4,31.9,null,190,74.2,0.05
8.48,315.5,231.8,24.8,null,165,12.6,0.04
8.12,888,408.7,74.4,null,140,127.4,0.42
7.94,601,201.3,102.8,null,275,9.6,0.48
7.56,254,85.4,42.5,null,75,15.4,0.03
7.86,148,67.1,21.3,null,55,9.9,0.11
7.71,192,67.1,35.5,null,70,13.7,0.13
7.74,119,48.8,17.7,null,40,9.8,0.23
7.46,238,48.8,63.8,null,80,17.5,0.02
7.89,198,61,35.5,null,65,18.4,0.51
7.92,607,323.3,53.2,null,145,83.5,0.53
7.55,168,67.1,24.8,null,55,15.7,0.2
7.64,143,61,21.3,null,50,11,0.23
8.05,360,213.5,10.6,null,50,66.7,1.1
7.66,121,48.8,17.7,null,35,9.8,0.06
7.45,37.36,24.4,3.5,null,20,0.3,0.44
7.09,36.91,24.4,3.5,null,20,0.5,0.1
7.83,1176,219.6,195,null,190,122.5,0.11
7.94,251.4,152.5,17.7,null,110,8.8,0.04
8.06,293.8,164.7,17.7,null,45,18.2,0.18
7.63,1005,347.7,120.7,null,280,69.8,0.31
7.8,432,213.5,17.8,null,190,8.4,0.41
8.17,452,201.3,21.3,null,170,14.3,0.29
8.21,330,152.5,17.8,null,120,15.5,0.49
7.95,468,237.9,14.2,null,195,12.6,0.35
8,418,195.2,21.3,null,180,9.3,0.35
8.09,542,274.5,17.8,null,195,30.3,0.48
8.1,671,408.7,17.8,null,165,92.2,0.47
7.94,402,237.9,7.1,null,190,11.5,0.44
7.98,435,213.5,14.2,null,175,13.5,0.45
7.95,399,195.2,14.2,null,150,17.5,0.53
8.03,525,225.7,35.5,null,210,16.7,0.71
7.77,423,213.5,14.2,null,175,12.5,0.37
8.09,354,176.9,17.8,null,140,17.3,0.62
8.16,701,359.9,28.4,null,255,44.6,0.93
7.61,638,311.1,21.3,null,260,18.5,0.67
8.28,472,262.3,7.1,null,225,4.4,0.42
7.18,820,390.4,42.6,null,230,79.1,0.88
8.1,465,280.6,14.2,null,200,29.6,0.22
7.96,428,189.1,21.3,null,130,28.7,0.26
8.04,351,195.2,7.1,null,110,22.2,0.14
7.89,295,158.6,7.1,null,130,8.3,0.21
7.97,519,280.6,14.2,null,210,24.2,0.32
8.05,570,305,28,null,210,40,0.11
8.29,850,476,28,null,240,91,0.43
7.93,512.5,280.6,7.1,null,230,15,0.37
7.78,462,268.4,10.6,null,180,22,0.11
8.08,366,183,14.2,null,150,9.5,0.15
7.7,385,219.6,7.1,null,175,10.7,0.34
7.75,315,195.2,7.1,null,150,8.9,0.52
7.6,358,207.4,14.2,null,170,9.7,0.51
7.79,410,231.8,21.3,null,200,9,0.32
7.39,359,219.6,7.1,null,185,5,0.4
7.42,462,280.6,10.7,null,215,19.3,0.21
7.3,455,268.4,14.2,null,210,13,0.25
7.85,490,268.4,14.2,null,210,14,0.4
7.4,503,292.8,14.2,null,220,20,0.58
7.43,65,24.4,7.1,null,20,6.4,0.19
7.71,550,323.3,7.1,null,230,22.5,0.24
7.75,720,427,7.1,null,180,82.3,0.26
8.14,615,347.7,7.1,null,175,60.9,0.37
7.9,196,109.8,3.5,null,90,null,0.1
7.65,181,109.8,3.5,null,90,3,0.08
7.48,102,48.8,7.1,null,50,null,0.09
7.93,645,402.7,7.1,null,260,38,0.06
7.87,373,183,21.3,null,160,7.8,0.34
8.2,669,427.1,7.1,null,110,115,1.1
8.07,595,378.3,7.1,null,260,31,0.59
7.88,578,353.9,7.1,null,230,39,0.46
7.85,432,256.2,7.1,null,190,19,0.14
7.69,290,146.4,17.7,null,115,15.2,0.21
8.2,200,80,18,null,66,13.2,0.4
7.56,270,111,25,null,96,16.7,0.22
8.1,160,74,7,null,61,5.8,0.39
8.11,420,247,21.3,null,190,15,0.22
7.96,840,401.4,92.2,null,330,58,0.67
7.84,1026,586.6,35.5,null,390,71,0.48
7.92,687,336,83,null,230,82,0.48
8.25,393,268.5,13.5,null,167,30,0.48
7.28,140,67,11,null,60,7,0.15
7.74,365,128,36,null,120,21,0.29
7.45,80,18,14,null,35,1,0.8
7.54,419,146,46,null,170,19,0.34
7.04,303,61,57,null,75,31,0.35
7.26,151,43,21,null,65,2,0.89
7.79,123,55,11,null,30,16,0.47
7.54,136,61,11,null,40,11,0.3
7.54,136,61,11,null,40,11,0.3
7.24,237,92,21,null,100,13,0.43
7.68,887,262,135,null,395,9,0.15
7.41,189,67,21,null,70,9,0.88
6.74,252,24,50,null,70,11,0.88
6.74,252,24,50,null,70,11,0.88
7.39,250,73,28,null,90,12,1.38
7.39,250,73,28,null,90,12,1.38
7.75,151,18,25,null,42,15,0.16
7.5,655,232,75,null,220,42,0.98
7.5,655,232,75,null,220,42,0.98
7.35,113,37,14,null,20,5,0.08
6.92,43,18,4,null,10,2,0.9
6.75,88,18,11,null,25,3,0.07
6.98,56,18,7,null,20,3,0.08
7.29,356,134,25,null,150,14,0.24
5.03,175,2,30,null,33,16,0.06
6,29,6,7,null,12,2,0.07
5.99,78,12,11,null,25,6,0.05
6.24,63,24,7,null,26,2,0.11
6.68,60,18,7,null,25,2,0.24
5.6,42,6,11,null,15,4,0.04
4.42,220,null,36,null,40,20,0.01
7.16,66,15,11,null,12,7,0.05
7.22,112,42,7,null,32,10,0.1
6.77,183,15,27,null,32,19,null
7.23,125,15,21,null,24,15,0.1
7.63,117,12,14,null,26,11,null
6.28,143,10,32,null,39,16,0.1
7.27,294,159,21,null,135,11,0.33
7.71,410,146,25,null,125,16,0.31
8.2,410,177,14,null,125,12,0.28
7.72,81,31,11,null,30,5,0.12
7.64,92,31,11,null,30,4,0.06
7.72,198,104,14,null,65,15,0.18
7.34,123,43,14,null,35,8,0.15
6.83,106,31,14,null,30,5,0.08
7.13,93,31,18,null,35,5,0.05
7.01,96,31,11,null,30,5,0.04
7.52,101,31,11,null,30,5,0.05
7.27,141,55,14,null,45,8,0.06
6.97,170,61,21,null,55,9,0.1
7.47,221,104,18,null,80,11,0.11
7.53,159,92,3,null,60,8,0.12
7.81,480,268,14,null,190,25,0.44
7.66,292,134,21,null,100,22,0.26
7.83,551,342,7,null,170,60,0.45
7.82,601,275,57,null,290,12,0.17
7.97,594,275,25,null,190,41,1.7
7.74,287,140,7,null,135,3,null
7.62,235,122,7,null,90,10,0.16
7.57,255,92,18,null,80,19,0.25
8.12,700,220,21,null,340,5,0.36
7.8,447,171,39,null,180,25,0.37
7.88,432,165,11,null,200,8,0.48
7.84,399,207,14,null,180,8,0.14
7.74,414,214,7,null,165,16,null
7.75,718,354,7,null,320,16,0.15
7.47,592,317,14,null,180,53,0.13
7.86,328,116,11,null,150,6,null
7.74,654,305,14,null,310,6,0.11
7.94,856,390,14,null,360,27,0.16
7.86,791,390,7,null,350,20,0.16
8.1,597,293,7,null,280,7,0.15
7.91,572,262,11,null,260,11,0.13
7.89,480,268,7,null,180,27,0.14
7.92,520,293,7,null,220,18,0.28
8.22,240,116,18,null,110,6,0.31
8.02,204,98,18,null,100,3,null
7.67,250,43,43,null,95,8,0.02
7.83,270,12,82,null,55,31,0.02
7.72,904,372,92,null,220,61,0.3
7.48,362,146,25,null,105,40,0.29
8.21,276,104,39,null,95,18,0.11
7.39,632,293,39,null,235,30,0.46
5.88,40,12,5,null,7,5,0.02
4.95,30,6,4,null,7,2,0.02
7.94,1080,549,43,null,165,171,1.56
7.52,2530,976,307,null,1036,128,0.12
8.06,1073,598,43,null,230,164,2.8
8.18,605,344,35,null,170,72,0.21
8.16,850,266,156,null,270,93,0.81
7.65,285,156,14,null,130,8,0.31
7.68,1010,427,163,null,260,145,0.91
7.96,472,270,35,null,220,21,1.1
7.94,395,170,43,null,170,16,0.8
7.51,1004,391,78,null,380,33,0.92
8,533,321,21,null,210,41,0.98
7.71,728,479,14,null,320,45,0.75
7.87,776,451,57,null,350,41,1.2
6.65,360,37,38,null,110,19,0.06
6.8,40,18,4,null,15,2,0.01
7.4,40,24,1,null,15,2,0.06
7.95,100,31,8,null,35,3,0.11
